Ticker
FDS
WAT
HIG
MAA
CDW
CSGP
ALLE
PDD
CME
DLR
AMZN
LULU
CBOE
GS
WAB
AVB
BF-B
VTRS
CINF
LVS
NTRS
AMD
SPG
TRMB
AFL
TAP
SYK
CCL
SJM
CMG
PNR
SWK
TSLA
MNST
SYY
FTNT
RSG
EVRG
UBER
NTAP
SWKS
BMY
HSIC
FDXF
VTR
PTC
KO
PEP
SMCI
NVR
MCK
ABT
VRSN
WSM
DAL
ALL
CFG
VMC
VST
PYPL
ROP
PWR
IBM
MSCI
LITE
MAR
ABBV
ADP
BSX
PODD
MTB
COR
MTD
HUBB
FLEX
AON
BEN
LUV
AMCR
TGT
KIM
KDP
PEG
TMUS
PFG
CMI
KEY
TYL
COIN
EOG
TER
ETN
DUK
DOC
PLTR
KKR
VICI
ULTA
JNJ
SO
RJF
GPC
LYV
REG
HUM
NRG
RMD
FTV
NFLX
LEN
APTV
INTU
V
WELL
IVZ
Q
CBRE
ADM
WRB
VLTO
DTE
EQT
WDAY
MDLZ
MPC
ALNY
ASML
ODFL
LOW
UAL
LH
SNA
PSKY
CARR
PLD
SYF
ARES
HOOD
TTD
TRGP
ROL
VRTX
JBHT
EQR
BKR
HSY
KMB
BLK
JBL
ADI
CB
CVX
DHI
FIS
CPAY
COF
GOOGL
MS
AMT
FITB
PCAR
CMS
LII
O
IQV
CRM
AZO
WMB
IP
EBAY
TEL
TT
CRWV
HAL
HPE
APO
CL
NSC
HLT
CTVA
ARE
CMCSA
HII
WDC
CHD
NOW
MMM
DOV
CRH
AIG
L
MCD
SOLV
XYL
PPG
CEG
NUE
EXPE
DVN
DXCM
DRI
PSA
MRK
CRWD
ALGN
GNRC
ATO
HPQ
ROST
AVGO
IDXX
TPL
BRK-B
NVDA
FOX
KEYS
ANET
T
IBKR
COST
CDNS
STT
BG
PNC
INVH
GD
NWSA
BNY
FCX
SLB
CRL
AOS
NOC
APH
FANG
OTIS
EA
META
ORLY
PSX
MSFT
KLAC
GE
HONA
OMC
DECK
BRO
LNT
COHR
CSX
HAS
IR
VRT
AWK
NKE
APP
KR
MKC
PAYX
FSLR
MSTR
A
BDX
ABNB
PCG
PG
UNP
EG
NDSN
EMR
WM
SBUX
WY
DDOG
ADSK
BALL
MOS
TRV
ELV
PPL
CASY
COO
BAC
APD
VRSK
PHM
MDT
DHR
SHOP
AVY
ETR
VEEV
ALAB
GL
LRCX
BKNG
AME
MET
IT
FE
ECHO
VZ
MRVL
RCL
ARM
CVNA
GEHC
CI
EXR
REGN
HWM
BXP
TSCO
CTSH
LDOS
IEX
HCA
AAPL
PM
EXE
GEV
TROW
AMP
BLDR
MLM
MAS
CLX
INTC
TJX
GEN
AIZ
CTAS
XOM
KVUE
ECL
AXP
LYB
SNDK
RVTY
CVS
MPWR
WYNN
NBIS
TDY
TFC
RL
EFX
NI
SRE
CNC
PANW
BIIB
DD
DE
ALB
PFE
JCI
AJG
STE
ED
D
UPS
C
APA
NXPI
FISV
F
JKHY
DPZ
MGM
ZBRA
FICO
AKAM
STX
QCOM
IFF
PH
CAT
CHRW
DASH
ICE
NWS
TMO
BA
FFIV
HST
AEP
SPGI
UHS
BBY
SW
OXY
FAST
ADBE
ACN
STZ
TXN
SCHW
ON
WMT
PRU
LLY
GRMN
AXON
CAH
LMT
MCHP
RKLB
HON
ES
PKG
ROK
MRSH
RF
TDG
ACGL
DOW
SBAC
ISRG
URI
MSI
INCY
TSN
NEE
TXT
UNH
PGR
ESS
CCI
CSCO
LIN
CCEP
DVA
FIX
ITW
GPN
EIX
MO
TPR
HD
UDR
JPM
SHW
EME
MU
FOXA
PNW
YUM
CIEN
OKE
EW
VLO
DIS
FER
FRT
WEC
CF
XYZ
CNP
DGX
AES
GM
EL
MA
J
WST
TRI
GIS
GLW
KHC
STLD
BR
EQIX
RTX
AMAT
WTW
IRM
ZTS
NEM
DELL
CPRT
AMGN
GOOG
EXC
HRL
SNPS
GWW
NCLH
DG
WFC
GILD
MRNA
MELI
ZBH
ORCL
CHTR
COP
TKO
TTWO
FDX
GDDY
WBD
CPT
HBAN
AEE
BX
KMI
DLTR
NDAQ
EXPD
TECH
MCO
BAX
ERIE
XEL
LHX
USB
