종목명,최종점수,가치점수,우량점수,모멘텀점수(샤프+이익),샤프지수,거래대금(억)
삼천당제약,0.6741,0.9319,0.6226,0.47,1.45,650
싸이맥스,0.6736,0.5572,0.7238,0.7418,2.22,102
원익홀딩스,0.6731,0.4332,0.6863,0.9019,2.36,371
한화에어로스페이스,0.6729,0.8556,0.5479,0.6172,0.76,2810
코아스템켐온,0.6725,0.9591,0.4883,0.5722,0.92,30
대덕,0.6717,0.9196,0.5832,0.5143,2.55,30
동아엘텍,0.6713,0.7888,0.4634,0.7636,1.8,29
HD현대마린엔진,0.6712,0.6144,0.7418,0.6594,1.12,172
영풍,0.6689,0.5163,0.7831,0.7091,1.06,15
HEM파마,0.668,0.985,0.4365,0.5845,1.96,11
케이엠더블유,0.6678,0.748,0.5264,0.7309,1.68,240
강원에너지,0.6677,0.9142,0.486,0.6049,1.11,12
파이버프로,0.6667,0.594,0.731,0.6771,1.77,50
케이티앤지,0.6658,0.7139,0.7072,0.5783,1.56,673
한선엔지니어링,0.6657,0.5804,0.6632,0.7554,2.23,180
큐알티,0.6654,0.8365,0.6692,0.4925,0.94,14
스피어,0.6651,0.6553,0.7677,0.5743,1.99,807
두산,0.6635,0.936,0.5749,0.4816,1.85,2177
쎄트렉아이,0.661,0.4673,0.6804,0.8372,1.89,200
LS에코에너지,0.6604,0.4455,0.7761,0.7616,1.76,164
신세계인터내셔날,0.6603,0.9155,0.6797,0.3876,1.23,26
HDC,0.6595,0.9128,0.5955,0.4721,0.37,24
한미약품,0.6595,0.8065,0.7297,0.4441,1.21,983
삼현,0.6593,0.5177,0.7074,0.7548,2.09,203
아비코전자,0.6591,0.549,0.6851,0.7452,1.27,85
서부T&D,0.6581,0.861,0.5116,0.6035,1.12,73
비엠티,0.6575,0.6131,0.7198,0.6417,1.29,13
빛과전자,0.6572,0.7221,0.5411,0.7105,1.86,866
범한퓨얼셀,0.6567,0.8229,0.4809,0.6683,1.22,37
링크솔루션,0.6555,0.812,0.4761,0.6805,1.53,35
케어젠,0.6554,0.5981,0.7374,0.6328,1.89,97
티케이케미칼,0.6554,0.5695,0.7582,0.6403,0.9,10
LIG디펜스앤에어로스페이스,0.6546,0.7371,0.7049,0.5238,0.93,2198
오로스테크놀로지,0.6541,0.8529,0.5869,0.5245,0.71,73
SFA반도체,0.653,0.9169,0.576,0.468,1.94,1038
이엔에프테크놀로지,0.6525,0.6158,0.728,0.6158,0.93,62
워트,0.6524,0.8174,0.7045,0.4373,0.33,23
스맥,0.6524,0.8161,0.7206,0.4223,1.21,23
LB세미콘,0.6521,0.9428,0.538,0.4775,1.01,61
퓨릿,0.6505,0.5463,0.7281,0.6792,1.58,11
더블유게임즈,0.6503,0.9605,0.7193,0.2732,0.57,87
현대로템,0.6498,0.688,0.7932,0.47,0.34,1363
