종목명,최종점수,가치점수,우량점수,모멘텀점수(샤프+이익),샤프지수,거래대금(억)
고영,0.6921,0.9244,0.6667,0.4874,1.56,1026
네오오토,0.6918,0.7311,0.7204,0.6261,1.72,30
남선알미늄,0.6918,0.7143,0.7077,0.6555,0.87,43
에치에프알,0.6916,0.7983,0.6652,0.6134,0.96,132
대창,0.6903,0.8838,0.6919,0.4972,0.45,18
한국앤컴퍼니,0.6876,0.9384,0.7146,0.4118,0.80,61
한국피아이엠,0.6866,0.4566,0.6803,0.9251,2.19,143
코아스템켐온,0.6852,0.9594,0.4889,0.6092,0.99,29
한화,0.6846,0.9818,0.4601,0.6141,0.83,321
한화에어로스페이스,0.6843,0.8613,0.5486,0.6450,0.83,2890
솔브레인,0.6831,0.7661,0.7229,0.5623,1.68,388
한양디지텍,0.6823,0.7703,0.7100,0.5686,2.03,108
큐렉소,0.6815,0.7255,0.6909,0.6303,0.86,45
리가켐바이오,0.6813,0.7185,0.6656,0.6618,1.03,622
디바이스,0.6802,0.9020,0.5930,0.5476,2.72,102
KBI메탈,0.6790,0.7087,0.5068,0.8235,1.98,286
스피어,0.6773,0.6625,0.7684,0.6029,2.20,729
삼천당제약,0.6765,0.9342,0.6233,0.4741,1.44,656
우림피티에스,0.6765,0.8473,0.6848,0.4993,1.66,26
LG에너지솔루션,0.6747,0.9650,0.5822,0.4790,0.97,2459
원익홀딩스,0.6746,0.4426,0.6870,0.8964,2.32,364
대덕,0.6746,0.9216,0.5839,0.5203,2.72,29
동아엘텍,0.6741,0.7941,0.4641,0.7661,1.77,28
파이버프로,0.6718,0.5994,0.7318,0.6863,1.81,46
영풍,0.6717,0.5210,0.7839,0.7122,1.03,15
강원에너지,0.6714,0.9160,0.4867,0.6134,1.10,12
싸이맥스,0.6708,0.5616,0.7245,0.7283,2.12,101
HEM파마,0.6705,0.9860,0.4371,0.5903,2.01,11
케이엠더블유,0.6687,0.7563,0.5271,0.7248,1.61,236
달바글로벌,0.6683,0.6737,0.7386,0.5945,0.80,400
DB,0.6679,0.6583,0.7123,0.6352,0.95,37
라이콤,0.6670,0.8880,0.5018,0.6134,1.05,297
쎄트렉아이,0.6666,0.4748,0.6811,0.8459,1.96,191
비엠티,0.6665,0.6190,0.7206,0.6618,1.39,13
두산,0.6662,0.9370,0.5756,0.4881,1.84,2162
한선엔지니어링,0.6658,0.5854,0.6639,0.7500,2.18,181
NHN,0.6654,0.9664,0.5254,0.5063,0.62,138
삼현,0.6649,0.5224,0.7081,0.7661,2.18,194
LS에코에너지,0.6647,0.4538,0.7768,0.7654,1.73,160
HD현대마린엔진,0.6642,0.6204,0.7425,0.6317,0.99,174
큐알티,0.6636,0.8417,0.6699,0.4811,0.88,13
케이티앤지,0.6622,0.7227,0.7079,0.5581,1.45,674
이엔에프테크놀로지,0.6605,0.6218,0.7287,0.6331,0.96,66
빛과전자,0.6605,0.7297,0.5417,0.7122,1.82,865
아비코전자,0.6603,0.5546,0.6858,0.7423,1.26,87
SJG세종,0.6602,0.6148,0.7087,0.6590,1.31,15
LIG디펜스앤에어로스페이스,0.6601,0.7451,0.7056,0.5315,0.94,2269
오로스테크놀로지,0.6586,0.8585,0.5876,0.5315,0.74,71
링크솔루션,0.6571,0.8179,0.4767,0.6786,1.51,34
서진시스템,0.6564,0.7773,0.6364,0.5574,2.39,1708
퓨릿,0.6557,0.5518,0.7288,0.6884,1.60,10
티케이케미칼,0.6541,0.5742,0.7590,0.6310,0.84,10
한농화성,0.6536,0.7409,0.6435,0.5784,0.82,25
LX인터내셔널,0.6534,0.7815,0.6009,0.5798,1.30,96
스맥,0.6532,0.8221,0.7213,0.4181,1.17,22
현대로템,0.6531,0.6961,0.7940,0.4713,0.35,1361
SFA반도체,0.6531,0.9188,0.5767,0.4657,1.89,1000
HDC,0.6528,0.9146,0.5963,0.4496,0.25,24
더블유게임즈,0.6516,0.9608,0.7200,0.2759,0.56,86
큐리옥스바이오시스템즈,0.6510,0.9790,0.4641,0.5119,1.54,116
케어젠,0.6506,0.6036,0.7381,0.6120,1.72,95
나노,0.6504,0.1695,0.8285,0.9552,2.83,41
한미약품,0.6502,0.8123,0.7304,0.4097,1.05,992
LB세미콘,0.6495,0.9440,0.5387,0.4678,0.96,54
HD건설기계,0.6490,0.8543,0.5847,0.5098,1.59,605
범한퓨얼셀,0.6480,0.8277,0.4816,0.6366,1.07,33
한솔테크닉스,0.6479,0.4930,0.7237,0.7290,1.67,206
에이치엠넥스,0.6479,0.5966,0.6956,0.6534,2.43,119
이지바이오,0.6479,0.8305,0.5660,0.5490,1.06,10
JW신약,0.6472,0.5980,0.8470,0.4986,0.34,89
클로봇,0.6462,0.8319,0.4208,0.6877,1.63,156
삼성중공업,0.6437,0.5294,0.6362,0.7675,1.30,1593
LS마린솔루션,0.6437,0.6106,0.6934,0.6289,0.89,88
에이피알,0.6436,0.2969,0.7456,0.8901,2.35,1185
TCC스틸,0.6435,0.8866,0.5962,0.4496,0.38,18
OCI홀딩스,0.6432,0.9062,0.4961,0.5294,2.26,1232
신세계인터내셔날,0.6428,0.9174,0.6804,0.3326,1.00,26
서부T&D,0.6421,0.8655,0.5123,0.5504,0.93,69
GST,0.6420,0.4860,0.7206,0.7213,2.24,248
HD현대일렉트릭,0.6415,0.3333,0.7837,0.8095,2.03,2309
하나금융지주,0.6400,0.9888,0.3645,0.5686,1.30,1191
유일로보틱스,0.6395,0.7549,0.5933,0.5721,0.85,88
효성중공업,0.6389,0.3768,0.5866,0.9552,3.05,2084
브이엠,0.6386,0.3039,0.6924,0.9216,2.64,601
시지메드텍,0.6383,0.5378,0.6816,0.6975,1.19,16
미코,0.6380,0.7003,0.6539,0.5616,0.86,162
녹십자웰빙,0.6375,0.6723,0.7506,0.4916,0.35,14
삼양엔씨켐,0.6373,0.4398,0.7303,0.7437,1.41,84
롯데쇼핑,0.6373,0.7899,0.5874,0.5364,2.03,367
그린리소스,0.6367,0.3782,0.7466,0.7871,1.48,72
셀트리온,0.6364,0.6793,0.6821,0.5497,0.55,1212
코리아에프티,0.6364,0.6919,0.7058,0.5133,0.88,14
LG화학,0.6361,0.8067,0.5851,0.5182,1.43,1426
국일제지,0.6360,0.7801,0.6754,0.4545,0.35,13
광동제약,0.6359,0.9958,0.6826,0.2311,0.75,13
기아,0.6355,0.6359,0.7430,0.5294,1.40,2492
한스바이오메드,0.6349,0.4090,0.7154,0.7822,1.50,80
더존비즈온,0.6329,0.8361,0.6240,0.4405,1.43,36
나노엔텍,0.6317,0.8669,0.6800,0.3501,0.91,20
한라IMS,0.6307,0.4832,0.7260,0.6849,1.54,23
현대자동차,0.6307,0.5686,0.5829,0.7423,2.46,11466
재영솔루텍,0.6305,0.8711,0.5846,0.4377,1.64,40
오리온,0.6303,0.6541,0.7205,0.5182,1.08,170
KG스틸,0.6290,0.6092,0.7109,0.5686,0.56,37
에프앤가이드,0.6275,0.3543,0.7178,0.8123,2.32,26
에스에프에이,0.6275,0.9202,0.6953,0.2689,0.77,44
센서뷰,0.6273,0.9566,0.2199,0.7073,1.58,160
엠플러스,0.6271,0.7871,0.5282,0.5679,1.42,25
제룡산업,0.6263,0.5182,0.7295,0.6331,1.00,37
전진건설로봇,0.6261,0.7997,0.7618,0.3186,0.52,42
한국정보통신,0.6255,0.7717,0.7179,0.3887,0.56,18
피델릭스,0.6252,0.6485,0.4637,0.7654,2.26,213
GS글로벌,0.6252,0.8950,0.5888,0.3936,0.98,53
펩트론,0.6246,0.9468,0.4981,0.4307,0.75,532
다우데이타,0.6243,0.9356,0.5770,0.3620,0.79,24
TYM,0.6241,0.6989,0.7139,0.4615,1.29,28
아모텍,0.6237,0.4720,0.6979,0.7031,1.23,372
타이거일렉,0.6237,0.3585,0.6964,0.8179,2.67,63
SK,0.6234,0.3123,0.6347,0.9251,2.23,1622
티엘비,0.6214,0.2647,0.6658,0.9356,2.45,257
LIG아큐버,0.6208,0.7465,0.5512,0.5665,1.50,60
HL만도,0.6205,0.8529,0.5784,0.4321,1.43,816
미스토홀딩스,0.6201,0.7675,0.6340,0.4608,0.80,92
저스템,0.6183,0.2633,0.7230,0.8704,2.14,240
메카로,0.6179,0.2185,0.7064,0.9307,2.15,21
에스엠벡셀,0.6165,0.8459,0.6911,0.3144,0.57,23
디아이티,0.6164,0.4762,0.7193,0.6555,1.44,47
아모센스,0.6160,0.6289,0.4940,0.7269,1.30,24
헬릭스미스,0.6158,0.4972,0.5784,0.7738,1.70,32
한미반도체,0.6158,0.3599,0.8470,0.6422,2.14,4597
코미팜,0.6150,0.9328,0.5934,0.3207,1.14,27
레인보우로보틱스,0.6147,0.8263,0.5884,0.4314,1.82,1171
에코프로비엠,0.6143,0.9398,0.4828,0.4223,1.54,1370
JW중외제약,0.6142,0.7059,0.7491,0.3894,0.88,16
케이티,0.6138,0.8039,0.6268,0.4125,0.47,302
한화엔진,0.6115,0.6022,0.5296,0.7045,1.65,618
한국토지신탁,0.6109,0.8403,0.4114,0.5826,0.65,11
디엔에프,0.6107,0.9090,0.5917,0.3333,1.25,17
두산테스나,0.6103,0.8207,0.5022,0.5098,2.84,664
코세스,0.6097,0.2003,0.7567,0.8739,2.49,58
LS티라유텍,0.6080,0.9034,0.4721,0.4503,0.92,12
현대오토에버,0.6073,0.5868,0.6122,0.6246,2.03,2333
화신,0.6066,0.6162,0.7383,0.4671,0.99,141
계양전기,0.6065,0.3473,0.5950,0.8789,2.25,117
지투지바이오,0.6058,0.7633,0.3334,0.7227,1.38,132
신한지주,0.6052,0.7843,0.3644,0.6688,1.67,1650
코데즈컴바인,0.6050,0.4818,0.7049,0.6303,1.09,49
자화전자,0.6038,0.5364,0.6928,0.5840,2.16,91
LX홀딩스,0.6037,0.7073,0.7331,0.3725,0.25,24
지노믹트리,0.6035,0.9426,0.5561,0.3137,0.55,14
솔루엠,0.6030,0.8810,0.6386,0.2913,0.94,72
한전KPS,0.6012,0.9706,0.6870,0.1478,0.38,101
E1,0.6005,0.6849,0.5386,0.5798,0.77,13
덕산네오룩스,0.6002,0.8445,0.6100,0.3480,0.67,90
LG이노텍,0.6002,0.5266,0.6161,0.6597,3.17,7963
헥토파이낸셜,0.5999,0.6709,0.6321,0.4986,1.05,73
파두,0.5991,0.6261,0.3620,0.8109,3.15,1823
파라다이스,0.5983,0.8641,0.6098,0.3228,0.32,120
녹십자,0.5980,0.7171,0.6236,0.4552,0.29,92
HJ중공업,0.5979,0.6863,0.5693,0.5399,1.90,188
신세계,0.5977,0.5308,0.6247,0.6394,2.56,735
SK오션플랜트,0.5975,0.8095,0.6816,0.3032,0.42,250
엘티씨,0.5965,0.1303,0.7284,0.9328,2.21,199
미래에셋벤처투자,0.5963,0.9916,0.2396,0.5595,2.68,1479
아이로보틱스,0.5960,0.7437,0.5874,0.4587,1.79,479
에스엘,0.5960,0.4804,0.7428,0.5665,1.56,193
지구홀딩스,0.5959,0.7395,0.3344,0.7157,1.74,13
천일고속,0.5948,0.9230,0.1762,0.6870,2.16,103
에이팩트,0.5948,0.5644,0.4717,0.7500,1.88,134
케이엔솔,0.5948,0.6835,0.6663,0.4363,0.31,24
와이투솔루션,0.5919,0.6821,0.6836,0.4118,1.36,21
AJ네트웍스,0.5916,0.8501,0.5007,0.4258,0.88,11
마이크로컨텍솔,0.5915,0.2745,0.7798,0.7220,1.35,49
삼성SDI,0.5908,0.7339,0.5164,0.5238,2.60,4301
롯데웰푸드,0.5903,0.8739,0.5948,0.3039,0.21,22
CJ,0.5900,0.8571,0.5995,0.3151,0.56,347
하나머티리얼즈,0.5894,0.3711,0.6853,0.7136,2.00,199
제이에스링크,0.5885,0.9720,0.3514,0.4440,2.15,77
KG에코솔루션,0.5864,0.8964,0.6825,0.1821,0.28,16
포스코스틸리온,0.5853,0.4594,0.7158,0.5826,1.29,82
농심,0.5847,0.7885,0.7040,0.2633,0.22,105
현대제철,0.5844,0.9902,0.5100,0.2549,1.06,403
한화시스템,0.5841,0.6555,0.6917,0.4069,0.97,917
하나마이크론,0.5840,0.3810,0.4738,0.8992,2.51,1092
NH투자증권,0.5833,0.8697,0.3652,0.5168,1.29,363
와이씨,0.5832,0.8487,0.5938,0.3088,1.21,156
이노션,0.5828,0.8627,0.6340,0.2535,0.65,53
현대건설,0.5817,0.6457,0.5950,0.5063,1.36,1391
에코프로머티,0.5814,0.6891,0.5575,0.4993,0.98,321
아이에스동서,0.5811,0.8852,0.5911,0.2689,0.94,30
아모그린텍,0.5807,0.2311,0.6625,0.8501,1.66,27
NC,0.5793,0.7129,0.6590,0.3676,0.97,558
대한항공,0.5791,0.8908,0.5184,0.3298,0.70,724
DSC인베스트먼트,0.5786,0.9678,0.4519,0.3179,1.10,157
HD현대마린솔루션,0.5782,0.6317,0.6986,0.4062,0.44,742
한화오션,0.5776,0.5882,0.5636,0.5826,0.72,2502
에이치브이엠,0.5775,0.2955,0.6474,0.7913,2.17,415
지오엘리먼트,0.5766,0.5140,0.7189,0.4986,0.88,10
한전산업,0.5763,0.7689,0.6591,0.3025,0.44,31
SP삼화,0.5762,0.9762,0.5890,0.1653,0.71,13
HD현대에너지솔루션,0.5746,0.2773,0.5917,0.8564,2.15,616
삼영전자공업,0.5745,0.6008,0.6861,0.4384,0.67,26
삼영,0.5739,0.2101,0.7249,0.7885,1.91,161
미래반도체,0.5733,0.4776,0.5051,0.7388,1.47,108
한화솔루션,0.5723,0.6695,0.4925,0.5567,0.81,734
코스모신소재,0.5719,0.6569,0.6781,0.3824,1.12,99
오이솔루션,0.5717,0.5756,0.4528,0.6884,2.02,188
에이엘티,0.5707,0.7031,0.4217,0.5889,1.57,24
넥센타이어,0.5706,0.8375,0.5965,0.2794,0.35,14
수산인더스트리,0.5705,0.6933,0.7021,0.3179,0.49,11
이녹스첨단소재,0.5693,0.5476,0.6494,0.5126,0.89,74
나무가,0.5685,0.5336,0.7653,0.4083,0.86,15
에코프로,0.5685,0.4230,0.4858,0.7983,1.87,1915
심텍홀딩스,0.5684,0.8011,0.2413,0.6646,1.83,54
LG디스플레이,0.5677,0.7269,0.3765,0.6015,1.00,2734
미래산업,0.5676,0.5840,0.6731,0.4475,1.60,143
화신정공,0.5659,0.3137,0.7035,0.6821,1.35,399
루미르,0.5648,0.7591,0.5811,0.3557,1.18,28
셀레믹스,0.5641,0.7605,0.4460,0.4874,2.48,19
한화생명,0.5636,0.8557,0.3570,0.4797,1.27,464
원익IPS,0.5634,0.2395,0.5876,0.8648,2.35,2010
메가터치,0.5634,0.8389,0.4797,0.3732,1.59,33
제일일렉트릭,0.5633,0.5350,0.6985,0.4580,0.92,52
포스코DX,0.5630,0.5504,0.7391,0.4013,0.94,345
씨아이에스,0.5620,0.3908,0.7213,0.5756,1.31,157
기업은행,0.5620,0.9006,0.3613,0.4258,0.83,387
오킨스전자,0.5619,0.2787,0.5795,0.8291,1.69,133
큐리언트,0.5616,0.7325,0.4049,0.5490,1.49,39
현대모비스,0.5612,0.3235,0.7014,0.6604,1.56,6855
티씨머티리얼즈,0.5609,0.6779,0.7243,0.2822,0.68,235
SNT에너지,0.5596,0.6513,0.7170,0.3123,0.42,65
엘앤에프,0.5596,0.7745,0.2175,0.6884,2.01,846
에스티큐브,0.5594,0.7647,0.2764,0.6387,1.58,62
에스원,0.5590,0.6751,0.7152,0.2885,0.28,85
프로텍,0.5587,0.0532,0.6842,0.9405,2.57,71
코스모화학,0.5579,0.6415,0.5948,0.4391,0.40,25
가온전선,0.5577,0.2521,0.5501,0.8725,2.54,558
HL홀딩스,0.5567,0.8431,0.6570,0.1716,0.55,19
케이씨,0.5565,0.3151,0.7217,0.6345,1.15,11
셀트리온제약,0.5554,0.4958,0.7020,0.4699,0.25,50
해성디에스,0.5535,0.4636,0.6734,0.5252,2.14,260
SK네트웍스,0.5534,0.7577,0.5014,0.4027,1.60,3001
툴젠,0.5528,0.5462,0.4591,0.6548,1.63,40
월덱스,0.5510,0.5924,0.6988,0.3634,0.85,34
토모큐브,0.5503,0.7353,0.4543,0.4629,1.11,34
피에스케이홀딩스,0.5500,0.2689,0.7321,0.6506,2.14,408
현대무벡스,0.5495,0.4020,0.6592,0.5889,2.79,941
한국타이어앤테크놀로지,0.5484,0.4986,0.6364,0.5119,1.31,377
엘에스일렉트릭,0.5480,0.3487,0.5918,0.7052,2.74,3020
HLB이노베이션,0.5478,0.7913,0.5316,0.3221,1.43,40
오리온홀딩스,0.5476,0.5910,0.7046,0.3487,0.76,53
HK이노엔,0.5469,0.5028,0.6948,0.4447,0.47,88
PKC,0.5466,0.6443,0.6274,0.3697,0.28,76
컴퍼니케이,0.5449,0.7619,0.4271,0.4475,0.88,31
이오테크닉스,0.5446,0.1429,0.7111,0.7815,2.08,1037
한국항공우주,0.5445,0.6653,0.4810,0.4888,1.28,971
비츠로테크,0.5441,0.3950,0.7027,0.5364,1.22,45
삼성생명,0.5426,0.5280,0.3576,0.7437,2.39,2130
DL,0.5419,1.0000,0.4608,0.1667,0.74,58
애경케미칼,0.5415,0.5826,0.5933,0.4503,0.78,44
태광,0.5401,0.5084,0.6995,0.4139,1.13,89
비츠로셀,0.5398,0.1134,0.7477,0.7598,2.44,321
켐트로스,0.5387,0.7367,0.6827,0.1982,0.63,10
한솔아이원스,0.5384,0.2983,0.7638,0.5546,1.04,50
로보티즈,0.5383,0.0210,0.6915,0.9041,2.37,1260
RFHIC,0.5375,0.3613,0.6919,0.5609,2.30,376
리노공업,0.5374,0.1471,0.7525,0.7143,1.59,1642
엠케이전자,0.5372,0.1821,0.5559,0.8754,2.06,397
아이엘,0.5369,0.5798,0.6005,0.4321,1.56,119
NHN KCP,0.5360,0.4482,0.7344,0.4272,1.04,72
GS피앤엘,0.5357,0.5560,0.5870,0.4657,0.98,60
지앤비에스 에코,0.5351,0.4412,0.6890,0.4769,1.58,77
PI첨단소재,0.5347,0.2591,0.6344,0.7122,1.13,33
코오롱티슈진,0.5346,0.5000,0.5431,0.5623,1.88,485
동양이엔피,0.5340,0.6275,0.7332,0.2430,0.36,11
현대에버다임,0.5338,0.6807,0.5876,0.3347,0.26,20
로보로보,0.5336,0.7969,0.5878,0.2178,0.88,30
한컴위드,0.5328,0.1975,0.7170,0.6856,1.06,67
한국쉘석유,0.5325,0.4706,0.7533,0.3754,0.54,16
가온그룹,0.5321,0.2059,0.5888,0.8032,1.62,84
HB테크놀러지,0.5314,0.6134,0.5929,0.3894,1.40,115
한중엔시에스,0.5311,0.4664,0.4772,0.6513,1.42,63
한국공항,0.5305,0.4692,0.7220,0.4020,0.91,21
퍼스텍,0.5302,0.0644,0.6525,0.8754,1.79,172
광전자,0.5297,0.2605,0.6881,0.6422,2.28,817
STX엔진,0.5294,0.1919,0.6584,0.7395,1.25,219
에이티넘인베스트,0.5283,0.6667,0.6866,0.2332,0.51,35
효성티앤씨,0.5278,0.6499,0.5339,0.4013,1.22,105
한빛레이저,0.5277,0.9622,0.5189,0.1036,0.68,55
포스코퓨처엠,0.5268,0.4608,0.5757,0.5455,1.45,656
소룩스,0.5254,0.9524,0.5051,0.1204,0.55,247
라온로보틱스,0.5252,0.7521,0.4513,0.3739,1.40,206
씨앤지하이테크,0.5247,0.2269,0.7312,0.6176,0.88,19
인텍플러스,0.5245,0.8235,0.2829,0.4685,1.88,273
휴림로봇,0.5239,0.1162,0.5928,0.8641,2.30,639
인바디,0.5237,0.3263,0.7135,0.5329,1.48,36
코스맥스엔비티,0.5224,0.4888,0.4589,0.6211,1.07,18
DB증권,0.5219,0.7199,0.3508,0.4965,1.13,15
제이오,0.5217,0.7157,0.6753,0.1758,0.51,27
SK이터닉스,0.5209,0.3025,0.5203,0.7416,1.36,1449
케이엔제이,0.5207,0.2199,0.6833,0.6604,1.34,50
디케이티,0.5203,0.2535,0.7090,0.6001,2.36,86
현대글로비스,0.5199,0.2661,0.6410,0.6541,1.43,855
현대백화점,0.5197,0.2703,0.6951,0.5952,1.27,355
부광약품,0.5185,0.4916,0.4668,0.5987,0.93,32
대한해운,0.5177,0.5658,0.6092,0.3796,0.93,104
씨에스윈드,0.5171,0.3445,0.6769,0.5315,0.52,275
동국제약,0.5161,0.4846,0.7143,0.3508,0.73,98
드림시큐리티,0.5154,0.6877,0.5260,0.3340,1.03,255
신영증권,0.5143,0.5784,0.3757,0.5903,1.07,47
퀄리타스반도체,0.5142,0.6905,0.4245,0.4293,0.78,73
디아이,0.5136,0.1345,0.6732,0.7346,1.16,128
에프엔에스테크,0.5135,0.0448,0.6583,0.8389,1.56,61
키움증권,0.5135,0.5896,0.3914,0.5609,1.40,558
지아이에스,0.5116,0.9832,0.4664,0.0868,0.44,55
세명전기,0.5107,0.1933,0.7212,0.6190,0.93,37
뉴프렉스,0.5106,0.6527,0.6838,0.1968,0.67,15
동양고속,0.5099,0.3866,0.4948,0.6499,2.15,215
대주전자재료,0.5099,0.1415,0.7195,0.6702,1.58,493
뉴파워프라즈마,0.5096,0.4160,0.6724,0.4419,1.54,105
LG,0.5094,0.1443,0.7068,0.6786,1.33,1903
후성,0.5087,0.2479,0.5240,0.7556,1.60,1143
네오티스,0.5074,0.0910,0.7031,0.7297,3.21,60
이마트,0.5067,0.3880,0.5813,0.5525,0.69,210
POSCO홀딩스,0.5058,0.3838,0.6171,0.5182,1.61,1917
현대홈쇼핑,0.5056,0.3754,0.6871,0.4559,1.51,13
원익머트리얼즈,0.5054,0.0980,0.7131,0.7066,1.65,31
세아홀딩스,0.5054,0.4622,0.6101,0.4454,1.02,17
지투파워,0.5048,0.8291,0.5831,0.1036,0.48,50
강스템바이오텍,0.5040,0.5532,0.3825,0.5777,1.63,17
유니테스트,0.5040,0.5406,0.4329,0.5399,0.96,39
제우스,0.5036,0.7507,0.6131,0.1485,0.38,56
오로라,0.5031,0.2353,0.6125,0.6632,1.40,20
에스피지,0.5024,0.0434,0.6921,0.7731,2.32,400
쏘카,0.5023,0.6975,0.3823,0.4286,0.36,12
SK증권,0.5020,0.3683,0.3296,0.8095,1.68,305
성우,0.5018,0.6611,0.6840,0.1618,0.37,13
GS리테일,0.5016,0.4510,0.5706,0.4846,1.78,51
한양이엔지,0.5013,0.3669,0.6972,0.4412,1.39,51
OCI,0.5010,0.5602,0.4856,0.4587,1.88,88
대신증권,0.5001,0.6078,0.3603,0.5336,0.89,44
신세계I&C,0.4994,0.3964,0.7097,0.3936,0.45,46
성우하이텍,0.4992,0.2997,0.6518,0.5476,0.96,42
핑거,0.4986,0.1653,0.6729,0.6590,0.99,28
롯데케미칼,0.4981,0.7955,0.5232,0.1772,0.85,141
DN오토모티브,0.4980,0.1793,0.6300,0.6863,1.76,85
덕산테코피아,0.4972,0.8725,0.3439,0.2766,0.99,38
케이아이엔엑스,0.4967,0.3193,0.6595,0.5126,0.81,15
켐트로닉스,0.4966,0.3403,0.6832,0.4678,1.06,83
