종목명,최종점수,가치점수,우량점수,모멘텀점수(샤프+이익),샤프지수,거래대금(억)
SK스퀘어,0.8823,0.8796,0.7993,0.9706,3.31,12606
앤로보틱스,0.8556,0.8992,0.7635,0.9069,2.07,30
이수페타시스,0.8284,0.8599,0.7896,0.8382,1.92,1784
RF머트리얼즈,0.8177,0.8515,0.6046,0.9993,3.47,187
피에스케이,0.8086,0.9454,0.7412,0.7416,2.80,884
주성엔지니어링,0.8056,0.8894,0.6538,0.8761,2.60,8236
코오롱생명과학,0.7902,0.9048,0.7246,0.7437,1.27,15
현대지에프홀딩스,0.7894,0.9314,0.7207,0.7185,1.27,31
대원전선,0.7877,0.8025,0.6357,0.9272,2.37,904
삼성전자,0.7852,0.8333,0.7054,0.8193,3.47,98116
삼영엠텍,0.7804,0.9258,0.7308,0.6870,1.29,15
샘씨엔에스,0.7737,0.9286,0.6083,0.7864,1.85,161
네패스,0.7612,0.8922,0.5647,0.8291,1.75,184
엑시콘,0.7606,0.9132,0.5816,0.7892,1.83,95
일진전기,0.7589,0.6765,0.7348,0.8676,2.34,387
산일전기,0.7500,0.6232,0.7871,0.8417,2.09,844
DKME,0.7495,0.9986,0.7165,0.5357,0.86,13
알멕,0.7464,0.8936,0.5231,0.8249,2.18,121
한솔케미칼,0.7449,0.8193,0.7263,0.6912,1.82,235
이수스페셜티케미컬,0.7448,0.6429,0.7218,0.8718,1.71,177
테스,0.7431,0.5700,0.7504,0.9111,2.57,861
유진테크,0.7423,0.7731,0.7025,0.7535,2.04,491
비에이치아이,0.7414,0.8824,0.7132,0.6310,1.22,287
한국카본,0.7404,0.7829,0.7464,0.6940,0.98,175
파미셀,0.7403,0.7101,0.8225,0.6905,0.99,104
HPSP,0.7386,0.9636,0.7746,0.4797,1.35,4611
대한전선,0.7354,0.6947,0.7034,0.8102,2.31,2199
ISC,0.7350,0.9118,0.6939,0.6015,2.35,655
삼성물산,0.7341,0.7927,0.6828,0.7290,2.06,3020
고려아연,0.7336,0.8782,0.7071,0.6176,1.16,287
동진쎄미켐,0.7335,0.9748,0.6734,0.5546,1.34,643
어보브반도체,0.7333,0.9972,0.7182,0.4867,0.36,41
HD현대,0.7326,0.8151,0.6173,0.7675,1.81,507
티에스이,0.7324,0.5392,0.6792,0.9811,3.20,325
메디아나,0.7321,0.9804,0.6915,0.5266,1.67,21
SK텔레콤,0.7306,0.9076,0.6185,0.6681,1.88,2409
효성,0.7298,0.5420,0.7196,0.9300,2.12,91
와이엠티,0.7288,0.9580,0.5974,0.6331,0.88,33
HD현대중공업,0.7282,0.8165,0.6742,0.6961,1.01,3192
삼지전자,0.7281,0.6639,0.7172,0.8053,3.25,171
아이티센글로벌,0.7269,0.7017,0.7479,0.7332,1.10,137
PS일렉트로닉스,0.7267,0.6246,0.7153,0.8424,1.95,306
와이지-원,0.7255,0.9846,0.6031,0.5910,2.12,119
제주반도체,0.7241,0.8137,0.7095,0.6513,2.85,3969
세진중공업,0.7230,0.8081,0.7593,0.6036,0.76,32
RF시스템즈,0.7220,0.9300,0.6261,0.6120,1.66,50
넥스틸,0.7201,0.8053,0.7416,0.6155,0.74,75
티씨케이,0.7177,0.6681,0.7358,0.7514,2.05,237
다원넥스뷰,0.7141,0.9538,0.6830,0.5077,1.82,23
삼양식품,0.7140,0.9482,0.7876,0.4083,0.41,709
씨어스,0.7124,0.7479,0.5126,0.8789,2.61,119
나우IB,0.7124,0.9930,0.5083,0.6380,0.84,43
삼성E&A,0.7079,0.7381,0.7380,0.6499,1.85,1112
원익,0.7073,0.8683,0.6913,0.5644,0.72,20
일동제약,0.7072,0.9272,0.5262,0.6702,1.10,38
대원강업,0.7070,0.9944,0.7091,0.4195,0.72,56
케이씨텍,0.7065,0.8347,0.6986,0.5882,1.96,145
DL이앤씨,0.7060,0.9734,0.6293,0.5175,1.01,493
HD한국조선해양,0.7043,0.8768,0.7276,0.5105,0.49,1210
LG씨엔에스,0.7037,0.9874,0.6358,0.4902,0.33,3697
다산네트웍스,0.7034,0.7535,0.7147,0.6443,0.93,13
코오롱인더,0.7032,0.8109,0.6566,0.6443,1.77,243
수산세보틱스,0.7027,0.8754,0.6999,0.5350,0.97,47
SK하이닉스,0.7010,0.3095,0.8250,0.9706,3.64,115403
LG전자,0.7007,0.6471,0.6225,0.8347,2.35,11888
DB하이텍,0.7007,0.6401,0.7106,0.7535,2.44,1429
엠디바이스,0.6999,0.7759,0.6844,0.6415,0.95,25
오르비텍,0.6995,0.3796,0.8470,0.8739,1.74,38
우주일렉트로,0.6987,0.9692,0.7110,0.4181,0.53,27
대한광통신,0.6984,0.9510,0.3044,0.8417,3.41,3640
팬오션,0.6983,0.9412,0.5857,0.5700,1.19,155
이랜텍,0.6975,0.9552,0.5618,0.5777,1.56,46
한올바이오파마,0.6951,0.9104,0.5944,0.5826,1.08,398
에스앤에스텍,0.6945,0.6597,0.7495,0.6765,1.36,199
