종목명,ROE,최종점수
한국피아이엠,-0.10,-0.06
삼화네트웍스,-1.48,-0.89
웨이버스,6.40,3.84
와이제이링크,-4.16,-2.50
포스코스틸리온,4.69,2.81
포스코퓨처엠,0.81,0.49
마니커,-0.76,-0.46
세아홀딩스,2.78,1.67
해성디에스,4.22,2.53
HS효성첨단소재,1.89,1.14
SDN,-2.66,-1.59
와이지엔터테인먼트,8.26,4.95
유네코,-7.11,-4.27
앤에스,0.86,0.52
엠오티,5.76,3.46
한중엔시에스,4.88,2.93
대한제당,-12.46,-7.48
한탑,4.41,2.65
대상,-27.63,-16.58
팜스토리,9.07,5.44
모아텍,-2.82,-1.69
이지홀딩스,5.61,3.36
iMBC,-9.47,-5.68
우성,6.09,3.65
스톰테크,10.88,6.53
한국공항,10.01,6.00
쇼박스,-14.00,-8.40
야스,-4.13,-2.48
씨아이테크,19.96,11.98
서호전기,24.95,14.97
신한글로벌액티브리츠,-7.39,-4.43
TS트릴리온,-6.92,-4.15
MDS테크,4.32,2.59
테크엘,-4.93,-2.96
아모텍,5.07,3.04
캐리,-39.33,-23.60
태성,-1.98,-1.19
드림인사이트,-1.23,-0.74
비비씨,6.83,4.10
진영,-8.34,-5.00
조흥,5.34,3.20
쎄트렉아이,5.94,3.57
아미코젠,-31.68,-19.01
해태제과식품,7.56,4.53
조이시티,-12.03,-7.22
인피니트헬스케어,13.74,8.24
대교,-13.19,-7.92
우리은행,8.70,5.22
스튜디오드래곤,1.29,0.77
디아이티,12.81,7.69
유비벨록스,-7.40,-4.44
동아쏘시오홀딩스,7.94,4.77
동아에스티,-5.60,-3.36
씨피시스템,4.60,2.76
하이젠알앤엠,-6.64,-3.98
한국맥널티,-3.44,-2.06
선진,21.65,12.99
팜스빌,4.36,2.62
샘표식품,7.52,4.51
경동나비엔,11.64,6.99
남광토건,4.24,2.54
한국알콜,6.36,3.82
동원산업,10.46,6.28
유진기업,-2.33,-1.40
아이즈비전,4.29,2.57
에스엘,12.10,7.26
SK디스커버리,2.11,1.27
코데즈컴바인,6.17,3.70
한라IMS,12.83,7.70
제이엔케이글로벌,1.84,1.11
오에스피,-7.52,-4.51
경동제약,3.69,2.22
동구바이오제약,32.97,19.78
동국제약,9.68,5.81
GST,14.96,8.98
휴스틸,-1.42,-0.85
코스맥스엔비티,-30.87,-18.52
씨이랩,-12.41,-7.45
기신정기,1.25,0.75
하스,3.34,2.00
SCL사이언스,-17.53,-10.52
백산,12.74,7.64
한솔로지스틱스,11.02,6.61
안국약품,4.40,2.64
한컴라이프케어,-6.00,-3.60
부광약품,3.65,2.19
삼아제약,5.67,3.40
신신제약,12.46,7.47
유유제약,6.49,3.89
한독,-0.80,-0.48
넥센,6.76,4.06
형지글로벌,-58.63,-35.18
코윈테크,-6.88,-4.13
에스디바이오센서,-21.97,-13.18
한솔테크닉스,0.11,0.07
환인제약,3.23,1.94
대화제약,2.94,1.77
바이넥스,-1.75,-1.05
조아제약,-33.83,-20.30
비씨월드제약,-4.33,-2.60
헬릭스미스,-0.33,-0.20
한국타이어앤테크놀로지,6.84,4.10
현대코퍼레이션홀딩스,11.03,6.62
인바이츠바이오코아,-312.72,-187.63
피엔케이피부임상연구센타,5.72,3.43
코칩,5.11,3.06
종근당,7.73,4.64
제주은행,2.15,1.29
서울반도체,-9.58,-5.75
코스맥스비티아이,6.31,3.79
태광,9.78,5.87
KEC,-8.15,-4.89
코스맥스,21.41,12.84
두산퓨얼셀,-36.14,-21.68
서울바이오시스,-8.02,-4.81
지오엘리먼트,7.72,4.63
한화갤러리아,0.40,0.24
테라젠이텍스,7.38,4.43
이건홀딩스,-3.16,-1.89
동원개발,2.47,1.48
태경비케이,7.82,4.69
성일하이텍,-52.26,-31.35
한신기계공업,-0.51,-0.31
케이쓰리아이,-12.51,-7.50
엠에스씨,12.16,7.30
영풍,0.77,0.46
시그네틱스,-35.07,-21.04
좋은사람들,-23.94,-14.36
한국석유공업,2.46,1.48
바른손이앤에이,-11.81,-7.08
삼현,7.36,4.41
베뉴지,22.71,13.62
콘텐트리중앙,-15.62,-9.37
데브시스터즈,6.38,3.83
오스템,1.21,0.73
국보디자인,12.25,7.35
삼아알미늄,-11.42,-6.85
아남전자,4.44,2.66
KPX케미칼,7.76,4.66
씨젠,4.77,2.86
제이투케이바이오,7.91,4.75
삼성증권,12.48,7.49
LG이노텍,5.92,3.55
삼성생명,3.78,2.27
엔텔스,5.65,3.39
삼성중공업,13.08,7.85
신세계,0.98,0.59
현대차증권,4.00,2.40
화천기공,3.35,2.01
유아이디,6.19,3.71
나무가,14.63,8.78
비피도,-0.42,-0.25
제일일렉트릭,4.22,2.53
신한서부티엔디리츠,1.68,1.01
고려제강,0.23,0.14
LX세미콘,7.34,4.40
자화전자,10.60,6.36
시지메드텍,6.91,4.15
티에스이,8.62,5.17
텔코웨어,5.49,3.29
시디즈,-3.61,-2.16
이녹스,9.94,5.97
유니테스트,-23.88,-14.33
코셈,-4.74,-2.85
효성,14.77,8.86
유안타증권,5.02,3.01
에너토크,-10.91,-6.55
선도전기,14.43,8.66
한국주철관공업,4.68,2.81
케이엘넷,14.96,8.97
이스트에이드,-42.16,-25.29
상신브레이크,-5.49,-3.29
신풍,2.72,1.63
툴젠,-65.83,-39.50
에스코넥,40.27,24.16
KX,5.26,3.16
디티앤씨,-0.66,-0.40
이녹스첨단소재,10.71,6.43
솔트웨어,3.59,2.15
SM Life Design,8.17,4.90
현대비앤지스틸,2.85,1.71
현대이지웰,21.96,13.18
서울도시가스,2.76,1.66
포스코DX,9.19,5.51
와이어블,5.83,3.50
한국정보공학,3.32,1.99
누리플렉스,-9.43,-5.66
인산가,0.97,0.58
강스템바이오텍,-15.16,-9.09
레몬,-133.08,-79.85
시너지이노베이션,4.11,2.46
아비코전자,8.16,4.89
플래스크,0.73,0.44
모바일어플라이언스,-1.15,-0.69
피플바이오,-59.19,-35.51
캐프,14.79,8.88
GS피앤엘,2.38,1.43
미래생명자원,-6.99,-4.20
뉴로핏,-115.10,-69.06
BGF리테일,14.87,8.92
BGF,2.79,1.67
로킷헬스케어,-24.27,-14.56
한미사이언스,12.27,7.36
넥써쓰,-11.05,-6.63
비에프랩스,-14.34,-8.60
로아앤코홀딩스,-54.19,-32.51
탑런토탈솔루션,3.13,1.88
OCI,-5.88,-3.53
DH오토넥스,17.93,10.76
한싹,-8.07,-4.84
앤디포스,5.50,3.30
제일연마,12.54,7.52
빅텍,7.26,4.36
동화약품,0.96,0.57
인지디스플레,4.57,2.74
아이티켐,-21.95,-13.17
현대위아,2.88,1.73
엔케이,-2.22,-1.33
넥스턴앤롤코리아,-1.06,-0.63
싸이맥스,7.69,4.62
SK이노베이션,-14.94,-8.96
알트,10.52,6.31
티비씨,2.89,1.74
HC홈센타,-11.51,-6.90
HC보광산업,-2.71,-1.63
SBI핀테크솔루션즈,0.50,0.30
소노스퀘어,-3.60,-2.16
삼부토건,54.00,32.40
비츠로시스,7.95,4.77
인선이엔티,-3.54,-2.12
에이치와이티씨,5.32,3.19
엔젠바이오,-29.91,-17.95
THE E&M,-35.98,-21.59
인터엠,4.85,2.91
세나테크놀로지,9.48,5.69
KNN,4.95,2.97
에스디생명공학,-25.05,-15.03
에쓰씨엔지니어링,-10.06,-6.04
엔케이젠바이오텍코리아,-103.49,-62.09
대한해운,7.18,4.31
광림,3.39,2.03
삼호개발,7.77,4.66
두산에너빌리티,1.71,1.03
현대자동차,8.12,4.87
IPARK현대산업개발,4.92,2.95
테스,14.53,8.72
아하,-3.40,-2.04
디알젬,7.36,4.42
한라캐스트,3.47,2.08
핑거스토리,11.28,6.77
대보마그네틱,-197.49,-118.50
LG생활건강,-1.54,-0.92
알파AI,-20.59,-12.36
에이전트AI,-49.78,-29.87
오픈엣지테크놀로지,-176.53,-105.92
바이오솔루션,0.85,0.51
THE CUBE&,-20.87,-12.52
대신밸류리츠,0.71,0.42
한화비전,4.92,2.95
케이티스카이라이프,0.26,0.16
졸스,-11.88,-7.13
푸른로보틱스,-1.77,-1.06
KTcs,11.20,6.72
오이솔루션,-42.07,-25.24
코어라인소프트,-79.77,-47.86
쓰리빌리언,-22.93,-13.76
하이드로리튬,-55.59,-33.35
메디콕스,-25.25,-15.15
페스카로,4.20,2.52
강남제비스코,0.13,0.08
신대양제지,3.09,1.85
신영증권,6.13,3.68
인성정보,-5.79,-3.48
에코볼트,-11.50,-6.90
네오크레마,3.54,2.12
아이엘,-46.71,-28.03
청담글로벌,2.63,1.58
디와이덕양,1.07,0.64
삼성에피스홀딩스,1.44,0.87
인크레더블버즈,-45.22,-27.13
아이에이치큐,-12.95,-7.77
유니켐,-4.99,-3.00
티케이지휴켐스,6.52,3.91
CS,-5.72,-3.43
애경케미칼,-0.69,-0.41
HLB제약,3.65,2.19
레이언스,-2.24,-1.35
크리스에프앤씨,-1.09,-0.66
TPC로보틱스,-6.73,-4.04
에코심플렉스,-9.90,-5.94
바이오포트,-3.47,-2.08
중앙에너비스,-2.14,-1.29
알에프세미,11.85,7.11
미래산업,8.25,4.95
일성건설,5.10,3.06
한주에이알티,-104.57,-62.74
아이씨디,-2.01,-1.21
파수AI,7.15,4.29
뉴온,-41.25,-24.75
파로스아이바이오,-77.24,-46.35
태림포장,-2.84,-1.70
에스엔시스,10.45,6.27
현대오토에버,9.96,5.98
한화오션,20.18,12.11
대진첨단소재,-77.37,-46.42
HLB글로벌,-11.80,-7.08
키움증권,16.59,9.95
EMB,-39.42,-23.65
알엔투테크놀로지,-9.81,-5.88
오리온홀딩스,6.55,3.93
현대사료,5.73,3.44
메타케어,-0.18,-0.11
DGI,-14.42,-8.65
오토앤,-27.90,-16.74
월덱스,11.82,7.09
우리기술,-3.30,-1.98
한진중공업홀딩스,13.04,7.82
제닉,46.01,27.61
부국증권,5.48,3.29
삼천리자전거,6.70,4.02
한창,615.08,369.05
카카오페이,2.85,1.71
마녀공장,7.44,4.46
솔루스첨단소재,-14.64,-8.78
에이치엠넥스,8.09,4.85
JW신약,38.44,23.07
대한과학,8.42,5.05
링네트,9.16,5.50
파이버프로,20.33,12.20
하이로닉,4.95,2.97
삼영전자공업,0.95,0.57
예선테크,-4.92,-2.95
사조산업,-6.73,-4.04
오상헬스케어,1.10,0.66
SG&G,6.53,3.92
한화엔진,31.24,18.75
프롬바이오,-88.77,-53.26
아이엠뱅크,7.40,4.44
에스케이렌터카,8.62,5.17
에이테크솔루션,0.37,0.22
케어젠,9.46,5.68
비아이매트릭스,7.48,4.49
와이앤넥스트,-4.92,-2.95
유라클,-35.32,-21.19
코리아나,-9.25,-5.55
이화전기공업,-0.69,-0.41
삼영에스앤씨,-5.95,-3.57
아이티엠반도체,-98.92,-59.35
씨앤투스,-5.22,-3.13
보로노이,-41.14,-24.69
폰드그룹,16.38,9.83
세아제강,2.67,1.60
대신증권,4.60,2.76
KG스틸,6.59,3.96
LS마린솔루션,1.33,0.80
GS건설,1.69,1.01
삼천리,6.98,4.19
HB테크놀러지,9.96,5.98
SJG세종,12.99,7.80
화신,11.67,7.00
LS증권,2.61,1.57
LG헬로비전,0.39,0.24
비엠티,12.67,7.60
현대리바트,1.77,1.06
HD현대마린엔진,33.77,20.26
이엔에프테크놀로지,11.18,6.71
산일전기,25.44,15.26
그래디언트,-3.42,-2.05
PS일렉트로닉스,12.29,7.38
깨끗한나라,-27.84,-16.70
파두,-385.05,-231.03
기가레인,-26.48,-15.89
트리니티항공,-650.14,-390.09
쿼드메디슨,-22.50,-13.50
파인메딕스,-9.88,-5.93
뉴트리,-2.44,-1.46
빛샘전자,9.17,5.50
동양이엔피,11.11,6.67
서울옥션,-8.93,-5.36
우리엔터프라이즈,-3.09,-1.85
셀피글로벌,-103.13,-61.88
위메이드맥스,-7.74,-4.64
아모센스,1.15,0.69
CJ제일제당,-3.61,-2.17
티이엠씨씨엔에스,3.68,2.21
LX하우시스,-5.26,-3.16
HD현대마린솔루션,32.69,19.61
경동도시가스,6.91,4.15
SK케미칼,0.87,0.52
NH올원리츠,0.69,0.42
SYTS,5.28,3.17
엠엑스로보틱스,-15.43,-9.26
엠엑스온,-2.33,-1.40
씨메스로보틱스,-28.45,-17.07
기아,12.35,7.41
버넥트,-16.69,-10.01
현대에이치티,9.94,5.97
해성산업,-3.48,-2.09
제닉스로보틱스,-15.13,-9.08
화성밸브,-2.08,-1.25
HLB바이오스텝,-20.07,-12.04
보령,7.61,4.56
푸드나무,5.80,3.48
엑시큐어하이트론,-225.79,-135.47
유니온,19.73,11.84
한주라이트메탈,-5.90,-3.54
DB하이텍,11.26,6.75
지엔씨에너지,18.07,10.84
애드포러스,-5.09,-3.06
더네이쳐홀딩스,0.26,0.16
제이스로보틱스,-18.78,-11.27
아크솔루션스,-45.43,-27.26
이노인스트루먼트,-32.54,-19.53
국전,-5.03,-3.02
잇츠한불,6.44,3.86
코스모화학,-5.30,-3.18
한국선재,2.47,1.48
DYP,5.48,3.29
아이퀘스트,9.95,5.97
이수스페셜티케미컬,0.58,0.35
PKC,4.52,2.71
엔지켐생명과학,-13.04,-7.82
공구우먼,8.99,5.39
비유테크놀러지,-54.11,-32.46
TP,13.33,8.00
오픈놀,-16.46,-9.88
현대건설,5.53,3.32
LG전자,4.27,2.56
한솔제지,0.56,0.33
삼양패키징,4.57,2.74
효성티앤씨,1.95,1.17
솔디펜스,5.95,3.57
헬스커넥트,-48.88,-29.33
제이엘케이,-32.89,-19.74
코오롱모빌리티그룹,-0.65,-0.39
장원테크,6.39,3.83
한국정보인증,11.24,6.75
SNT에너지,23.13,13.88
뉴프렉스,8.12,4.87
딥커머스,3.16,1.90
매일유업,8.91,5.35
오리온,9.98,5.99
일월지엠엘,12.61,7.56
대한제강,1.49,0.89
한화시스템,4.18,2.51
사토시홀딩스,-182.60,-109.56
엘브이엠씨,2.83,1.70
피스피스스튜디오,9.67,5.80
티앤알바이오팹,-151.42,-90.85
DB,10.98,6.59
에스앤에스텍,19.09,11.46
제일기획,13.14,7.88
모나용평,-8.45,-5.07
성우,2.18,1.31
케이피항공산업,9.09,5.45
스피어,0.27,0.16
삼지전자,15.89,9.54
일지테크,23.81,14.29
INVENI,13.44,8.06
케이씨피드,13.05,7.83
한국항공우주,9.87,5.92
덕신이피씨,1.12,0.67
NICE인프라,3.92,2.35
씨케이솔루션,-55.67,-33.40
도우인시스,0.29,0.17
배럴,9.18,5.51
한화솔루션,-5.50,-3.30
헥토파이낸셜,4.93,2.96
녹십자웰빙,8.88,5.33
다이나믹솔루션,-23.14,-13.88
피앤에스로보틱스,6.36,3.82
레뷰코퍼레이션,12.42,7.45
SAMG엔터,36.13,21.68
달바글로벌,39.81,23.89
이엘씨,4.77,2.86
이지트로닉스,-38.00,-22.80
비상교육,10.66,6.39
캐스텍코리아,-38.50,-23.10
에스원,10.17,6.10
유니드,6.03,3.62
일진다이아,1.07,0.64
이리츠코크렙,3.23,1.94
일진전기,17.65,10.59
일진하이솔루스,-0.63,-0.38
미원에스씨,13.67,8.20
엔알비,-0.62,-0.37
플래티어,-13.14,-7.89
메이슨캐피탈,-19.18,-11.51
조이웍스앤코,-110.87,-66.52
셀트리온,5.94,3.57
현대에버다임,2.42,1.45
이트론,18.19,10.91
와이투솔루션,-9.69,-5.81
콜마홀딩스,1.38,0.83
퍼시스,5.95,3.57
케이엔솔,-43.92,-26.35
E1,4.38,2.63
알에프텍,-16.38,-9.83
코아스,-90.57,-54.34
SNT홀딩스,9.18,5.51
CG인바이츠,-10.54,-6.33
한국자산신탁,4.56,2.73
성창오토텍,15.40,9.24
HJ중공업,7.68,4.61
HB솔루션,10.70,6.42
국보,154.89,92.93
대동전자,4.84,2.90
HLB테라퓨틱스,-5.56,-3.34
노바렉스,14.12,8.47
플레이디,6.45,3.87
신라젠,-21.97,-13.18
파마리서치,23.24,13.95
드림시큐리티,4.93,2.96
골프존,2.93,1.76
위지윅스튜디오,-31.60,-18.96
비투엔,-38.86,-23.32
휴엠앤씨,3.45,2.07
엔비알모션,-35.61,-21.37
코리아에프티,16.60,9.96
리더스코스메틱,-28.93,-17.36
동원F&B,11.62,6.97
앱토크롬,-1.84,-1.10
휴젤,14.99,9.00
스페코,-0.68,-0.41
토마토시스템,-11.23,-6.74
블리츠웨이엔터테인먼트,-74.30,-44.58
네오이뮨텍,-54.18,-32.51
스마트레이더시스템,-15.52,-9.31
플라즈맵,-115.16,-69.10
수산인더스트리,8.83,5.30
대한전선,5.51,3.30
에코글로우,-28.81,-17.29
셀레스트라,189.14,113.48
효성화학,51.50,30.90
S&K폴리텍,8.13,4.88
DXVX,-30.89,-18.54
정원엔시스,2.49,1.50
아이언디바이스,-17.04,-10.22
일양약품,2.95,1.77
현대로템,25.33,15.20
아이파크영창,19.01,11.41
아이마켓코리아,7.02,4.21
더핑크퐁컴퍼니,9.84,5.90
SBS,0.61,0.37
포니링크,7.33,4.40
쏘카,-11.15,-6.69
큐리오시스,-27.89,-16.73
부산은행,7.45,4.47
TYM,9.52,5.71
유니크,7.92,4.75
태광산업,2.10,1.26
미코,10.88,6.53
신흥,2.53,1.52
압타바이오,-34.64,-20.79
씨유메디칼,1.37,0.82
아이티센글로벌,38.74,23.25
가비아,8.33,5.00
내츄럴엔도텍,-15.57,-9.34
아이티아이즈,-122.94,-73.77
에이엘티,-9.49,-5.69
컴투스홀딩스,14.75,8.85
EG,-33.14,-19.88
이화산업,-1.04,-0.63
에이블씨엔씨,16.31,9.79
청호ICT,1.02,0.61
삼익THK,-28.59,-17.15
JW중외제약,16.65,9.99
LX홀딩스,6.78,4.07
SOOP,20.62,12.37
KBI메탈,0.97,0.58
빌리언스,-29.95,-17.97
에이텍,0.40,0.24
코아시아,-15.77,-9.46
에이프로젠,-30.65,-18.39
코스리거글로벌,-22.26,-13.36
NC,10.31,6.18
디티씨,-0.57,-0.34
한텍,18.94,11.37
씨티알모빌리티,-3.71,-2.22
더코디,-146.24,-87.75
JTC,44.71,26.83
남선알미늄,1.28,0.77
KBI동양철관,-2.19,-1.32
HS화성,7.06,4.24
한국큐빅,4.69,2.81
녹십자홀딩스,-2.37,-1.42
제이오,-4.37,-2.62
삼립,2.91,1.75
녹십자,-2.13,-1.28
시선AI,-99.63,-59.78
코렌텍,7.82,4.69
한신공영,6.88,4.13
아이큐어,-141.13,-84.68
KB스타리츠,-37.81,-22.69
에코앤드림,-4.02,-2.41
휴맥스,-84.69,-50.81
베셀,42.80,25.68
리가켐바이오,-16.92,-10.15
아티스트컴퍼니,2.83,1.70
엔피,-13.29,-7.97
에스피소프트,5.63,3.38
한패스,15.69,9.42
DB증권,7.55,4.53
KG모빌리티,3.14,1.88
우듬지팜,-11.52,-6.91
포바이포,-27.27,-16.36
케이티앤지,11.81,7.08
광주은행,11.31,6.79
오파스넷,18.51,11.11
강원랜드,8.03,4.82
차바이오텍,-18.13,-10.88
큐렉소,2.88,1.73
링크드,-4.99,-2.99
썸에이지,-71.69,-43.02
남양유업,0.75,0.45
와이즈버즈,3.73,2.24
엠피씨플러스,-20.75,-12.45
안랩,13.69,8.21
LG디스플레이,3.88,2.33
동양생명,8.04,4.82
빛과전자,-33.38,-20.03
블루산업개발,-29.78,-17.87
케이비증권,9.89,5.94
KD,-181.35,-108.81
파라택시스코리아,-73.62,-44.17
케스피온,-34.15,-20.49
큐리언트,-79.77,-47.86
삼성SDI,-2.48,-1.49
토모큐브,-12.40,-7.44
한울반도체,-48.08,-28.85
에스제이엠,4.46,2.68
삼성E&A,14.58,8.75
무학,8.20,4.92
고려신용정보,21.06,12.64
우리이앤엘하루틴,-1.52,-0.91
비트맥스,-907.99,-544.79
SUN&L,-1.63,-0.98
엑스플러스,-11.06,-6.64
위니아,10.47,6.28
윤성에프앤씨,-10.81,-6.49
링크제니시스,5.92,3.55
씨엔플러스,-36.07,-21.64
휴맥스홀딩스,-90.35,-54.21
티움바이오,-49.77,-29.86
오뚜기,3.27,1.96
인터지스,3.54,2.12
케이에이치건설,-67.40,-40.44
비엘팜텍,-211.76,-127.06
한국유니온제약,134.58,80.75
APS이노베이션,0.05,0.03
LIG디펜스앤에어로스페이스,16.09,9.65
LIG아큐버,-0.72,-0.43
씨어스,40.50,24.30
에피소드컴퍼니,-29.73,-17.84
E8,-78.27,-46.96
에이아이코리아,-1.91,-1.15
풍전약품,0.56,0.34
DSR제강,13.13,7.88
3S,-20.21,-12.12
신성에스티,0.53,0.32
필옵틱스,-13.79,-8.27
동아지질,8.19,4.91
코디,8.95,5.37
제우스,-3.90,-2.34
케이에이치미래물산,-15.80,-9.48
지에프아이,-6.76,-4.06
그래피,-55.43,-33.26
텔콘RF제약,-10.51,-6.30
레드우즈,3066.88,1840.13
라온로보틱스,10.33,6.20
SK아이이테크놀로지,-8.13,-4.88
다산네트웍스,1.22,0.73
싸이닉솔루션,4.84,2.91
탑코미디어,-7.16,-4.30
비아트론,5.78,3.47
KT나스미디어,3.37,2.02
신라에스지,-23.64,-14.18
GC메디아이,23.80,14.28
디와이에이,-1.40,-0.84
KG파이낸셜,6.29,3.77
제이케이시냅스,-29.02,-17.41
상보,-30.14,-18.08
빙그레,7.47,4.48
경농,6.79,4.08
에코마케팅,6.65,3.99
동방메디컬,9.13,5.48
프로이천,9.12,5.47
케이엠더블유,-20.57,-12.34
SK네트웍스,2.47,1.48
멕아이씨에스,-7.38,-4.43
대주산업,6.04,3.63
엠젠솔루션,-48.48,-29.09
센코,8.16,4.90
드림어스컴퍼니,1.81,1.08
아톤,2.09,1.25
셀레믹스,-17.54,-10.52
세토피아,359.22,215.53
솔트룩스,-16.27,-9.76
듀켐바이오,13.16,7.90
이지스레지던스리츠,3.75,2.25
SY동아,14.54,8.73
웰바이오텍,-60.92,-36.55
케이씨더블류,-0.14,-0.08
인스피언,4.78,2.87
손오공,1.64,0.98
에스티큐브,-30.23,-18.14
솔브레인,7.56,4.53
레이저쎌,-87.27,-52.36
유틸렉스,-163.37,-98.02
미스토홀딩스,13.44,8.06
서울평가정보,19.19,11.51
한울앤제주,-72.05,-43.23
트레스,10.75,6.45
미쥬,7.95,4.77
블랙야크아이앤씨,-14.71,-8.83
키네마스터,13.46,8.08
한국스탠다드차타드은행,2.60,1.56
한전산업,3.94,2.36
스틱인베스트먼트,5.84,3.51
경창산업,-18.11,-10.87
한양디지텍,8.81,5.29
전북은행,9.74,5.84
동성케미컬,11.78,7.07
한국정보통신,10.89,6.53
샌즈랩,-0.86,-0.51
풀무원식품,5.85,3.51
유진테크,9.05,5.43
대봉엘에스,6.83,4.10
롯데지주,-6.32,-3.79
엘앤에프,-79.00,-47.40
엠디바이스,22.28,13.37
서진시스템,-13.88,-8.33
에이치씨코퍼레이션,14.12,8.47
에이비엘바이오,-24.17,-14.50
파인텍,-29.31,-17.59
국일제지,-1.55,-0.93
대림통상,-44.42,-26.65
대원,-3.04,-1.83
대한제분,-2.49,-1.49
유니슨,-19.74,-11.85
동방,9.76,5.85
시공테크,16.43,9.86
DRB동일,1.70,1.02
LX인터내셔널,4.48,2.69
한국경제TV,1.89,1.13
한국카본,17.54,10.52
케이옥션,-6.05,-3.63
신한지주,8.42,5.05
리브스메드,-12.65,-7.59
아크릴,-6.42,-3.85
동부건설,8.08,4.85
코아시아씨엠,4.19,2.51
율촌화학,1.43,0.86
디앤디파마텍,-30.36,-18.22
엠플러스,20.23,12.14
에브리봇,-20.29,-12.17
이오플로우,29.44,17.66
씨앤에이치,41.00,24.60
케이이엠텍,-41.87,-25.12
이노에이엑스,7.57,4.54
덱스터,-15.68,-9.41
바이오다인,1.93,1.16
대원산업,13.15,7.89
농심,6.01,3.60
네이처셀,-4.50,-2.70
롯데쇼핑,0.44,0.26
HLB이노베이션,-15.21,-9.12
동서,8.43,5.06
케이에스피,7.89,4.74
동아엘텍,39.81,23.88
롯데케미칼,-14.05,-8.43
NPX,-350.15,-210.09
오가노이드사이언스,-63.35,-38.01
로보로보,-4.54,-2.72
동양에스텍,1.63,0.98
서한,5.39,3.23
M83,-20.21,-12.13
에치에프알,-0.03,-0.02
신테카바이오,-54.68,-32.81
에이프로젠바이오로직스,-60.63,-36.38
한진,0.06,0.04
전진건설로봇,18.68,11.21
티와이홀딩스,-9.42,-5.65
남성,-3.54,-2.13
심텍홀딩스,-40.41,-24.24
대원전선,8.49,5.10
케이티,9.44,5.66
스모트로닉,-14.42,-8.65
더테크놀로지,-89.28,-53.57
일진디스플,-21.97,-13.18
넥스틸,7.77,4.66
한국전자인증,7.21,4.32
제이브이엠,12.12,7.27
LG화학,-2.07,-1.24
HLB생명과학,-33.57,-20.14
고바이오랩,-14.15,-8.49
리메드,-0.09,-0.05
고려산업,8.08,4.85
YW,6.02,3.61
플레이그램,-1.64,-0.98
에르코스,-11.49,-6.90
유수홀딩스,4.06,2.44
하이트진로,3.60,2.16
인포바인,7.42,4.45
글로벌텍스프리,25.35,15.21
주연테크,-4.67,-2.80
세진중공업,19.98,11.99
SK오션플랜트,4.61,2.76
아이윈,17.80,10.68
코오롱인더,1.27,0.76
CSA 코스믹,-40.27,-24.16
토니모리,9.11,5.47
멀티캠퍼스,11.21,6.73
한미약품,13.15,7.89
제주반도체,17.39,10.44
HD현대,12.12,7.27
HD현대중공업,15.15,9.09
한울소재과학,-99.87,-59.92
지엘팜텍,0.06,0.04
지니언스,12.05,7.23
한솔케미칼,12.58,7.55
이엠앤아이,-47.56,-28.53
스맥,-22.03,-13.22
에스에너지,-43.27,-25.96
매커스,18.33,11.00
네오리진,-46.78,-28.07
에이비프로바이오,-90.54,-54.33
TS인베스트먼트,7.12,4.27
휴먼테크놀로지,-44.62,-26.77
워트,5.40,3.24
흥국에프엔비,7.98,4.79
엑세스바이오,-15.01,-9.00
킵스파마,-12.74,-7.64
휴마시스,-9.23,-5.54
클리오,5.49,3.29
동원수산,13.74,8.24
인디에프,-0.28,-0.17
매일홀딩스,8.20,4.92
인텍플러스,-7.22,-4.33
싸이토젠,-34.28,-20.57
에이치피오,4.69,2.81
얼라인드,7.83,4.70
디와이디,-135.60,-81.36
보라티알,0.26,0.16
제테마,-11.45,-6.87
씨앤씨인터내셔널,4.03,2.42
그리드위즈,1.52,0.91
유일에너테크,-49.49,-29.69
와이랩,-27.84,-16.71
삼보오토,3.04,1.82
마음AI,-29.36,-17.61
엔비티,-21.81,-13.09
디와이,5.00,3.00
지아이텍,0.98,0.59
폴라리스세원,0.78,0.47
KS인더스트리,-20.73,-12.44
모델솔루션,9.45,5.67
다보링크,-33.05,-19.83
범한퓨얼셀,0.73,0.44
진시스템,-189.34,-113.61
넥사다이내믹스,-66.90,-40.14
지투파워,13.18,7.91
이지바이오,25.78,15.47
케이지에이,-22.92,-13.75
삼성전자,10.36,6.22
케이씨텍,10.07,6.04
아우토크립트,-40.96,-24.57
더존비즈온,14.61,8.76
제이씨케미칼,-3.57,-2.14
동일산업,-3.18,-1.91
삼기,-6.36,-3.82
넥센타이어,7.36,4.42
명인제약,10.25,6.15
한국토지신탁,1.87,1.12
신세계푸드,21.57,12.94
큐알티,3.24,1.95
HL홀딩스,2.00,1.20
덕산네오룩스,11.47,6.88
HDC랩스,4.60,2.76
아이티센씨티에스,27.26,16.36
엔시트론,-5.26,-3.15
우림피티에스,2.89,1.73
에임드바이오,2.61,1.56
와이씨,6.09,3.65
HDC현대EP,8.56,5.13
아이티센피엔에스,-17.67,-10.60
AJ네트웍스,6.20,3.72
유니온머티리얼,12.53,7.52
자이언트스텝,-32.84,-19.71
RF머트리얼즈,12.01,7.21
농심홀딩스,8.67,5.20
삼양사,-16.94,-10.16
HL만도,4.27,2.56
HD건설기계,4.51,2.71
씨씨에스,-35.71,-21.43
골프존홀딩스,3.21,1.93
케이씨씨글라스,-6.06,-3.64
바이온,-32.77,-19.66
에이치엘사이언스,-14.44,-8.66
한화생명,5.03,3.02
