종목명,ROE,최종점수
경동인베스트,3.76,2.26
아가방컴퍼니,5.96,3.57
파워로직스,-6.23,-3.74
성우테크론,6.30,3.78
국순당,2.61,1.57
네오티스,8.90,5.34
SK가스,7.44,4.46
와이솔,-14.30,-8.58
디아이씨,-2.66,-1.60
서원인텍,2.55,1.53
대덕전자,5.31,3.18
에이엔피,-69.29,-41.57
아세아,2.52,1.51
성우전자,10.57,6.34
코메론,8.95,5.37
금강공업,-7.50,-4.50
원익머트리얼즈,9.27,5.56
DB손해보험,16.37,9.82
인탑스,1.08,0.65
벽산,7.31,4.39
라닉스,-36.47,-21.88
아이앤씨,12.01,7.21
메지온,-203.14,-121.88
한국콜마,10.09,6.05
우리로,-2.01,-1.21
우리산업,11.52,6.91
롯데관광개발,7.49,4.50
삼화전기,9.24,5.54
현대코퍼레이션,12.49,7.49
이엘피,4.03,2.42
스튜디오미르,-3.72,-2.23
한섬,3.22,1.93
금호석유화학,4.66,2.79
위즈코프,4.78,2.87
CS홀딩스,5.33,3.20
유아이엘,11.08,6.65
이랜시스,7.86,4.72
피앤텔,45.88,27.53
대창스틸,1.91,1.15
한국가스공사,1.22,0.73
더블유씨피,-18.12,-10.87
유티아이,-57.13,-34.28
비츠로셀,17.22,10.33
파인디앤씨,-42.61,-25.56
삼목에스폼,1.57,0.94
서흥,8.71,5.23
메가스터디,7.90,4.74
비비안,-15.27,-9.16
에이치시티,5.39,3.24
솔본,11.07,6.64
DSR,6.01,3.61
디와이파워,8.04,4.83
휴림로봇,-14.80,-8.88
디지털대성,15.03,9.02
옴니시스템,-0.14,-0.08
아이텍,-4.07,-2.44
액토즈소프트,12.32,7.39
바이오노트,-5.79,-3.47
신송홀딩스,3.25,1.95
성창기업지주,-3.05,-1.83
유진증권,5.70,3.42
대창단조,8.50,5.10
나노신소재,0.66,0.40
씨엔알리서치,2.13,1.28
한국내화,-12.52,-7.51
네오위즈,8.11,4.87
디젠스,3.12,1.87
코위버,2.19,1.31
PN풍년,5.54,3.33
삼화전자공업,-35.52,-21.31
오리엔탈정공,15.27,9.16
대한유화,2.69,1.61
티이엠씨,6.09,3.65
